"","All.obs","GIG","MarineRegion","Cat","physChemCatCW","physChemCatTW","ICcode.TRAC","ICcodeTW","ICtypeTW","ICcodeCW","ICtypeCW","Country","RBD","NatType","physChemQECode","physChemQE","physChemText","Note1_PhysChemText","physChemGMBoundary","SumMetric","Note2_Season","ValueStd","ValueUpStd","UnitUsed","Note3_stdUnits","RangeRep","ReasonRange","SalinityRange","Salinity1","Salinity2","DepthZone","Comment","cfMS","Ver","Ver.r"
"11",4853,"BAL","Baltic Sea","CW","YES","NO","inapplicable",NA,NA,"inapplicable","CW-BC1 - Baltic Sea, surface water salinity 0.5-6 psu, bottom water salinity 1-6 psu, Exposed, 90-150 ice days","FI","Ls","FIVHA2",17,"QE3-1-6-1-5 - Total Nitrogen","TN",NA,"Yes","summer","July-August mean",0.325,NA,"mgN/L","We standardised your Value using a factor of 0.001 to convert from units of   ug/L",FALSE,NA,NA,NA,NA,"Surf",NA,NA,"Ver7e_revised","ver3 final"
"12",4854,"BAL","Baltic Sea","CW","YES","NO","CW-BC9",NA,NA,"CW-BC9","CW-BC9 - Baltic Sea, surface water salinity 3-6 psu, bottom water salinity 3-6 psu, Moderately Exposed to exposed, 90-150 ice days","FI","Lu","FIVHA2",17,"QE3-1-6-1-5 - Total Nitrogen","TN",NA,"Yes","summer","July-August mean",0.29,NA,"mgN/L","We standardised your Value using a factor of 0.001 to convert from units of   ug/L",FALSE,NA,NA,NA,NA,"Surf",NA,NA,"Ver7e_revised","ver3 final"
"13",4855,"BAL","Baltic Sea","CW","YES","NO","CW-BC3",NA,NA,"CW-BC3","CW-BC3 - Baltic Sea, surface water salinity 3-6 psu, bottom water salinity 3-6 psu, Sheltered, 90-150 ice days","FI","Ss","FIVHA2",17,"QE3-1-6-1-5 - Total Nitrogen","TN",NA,"Yes","summer","July-August mean",0.35,NA,"mgN/L","We standardised your Value using a factor of 0.001 to convert from units of   ug/L",FALSE,NA,NA,NA,NA,"Surf","Hydrographic conditions in Ss differ from Su",NA,"Ver7e_revised","ver3 final"
"14",4856,"BAL","Baltic Sea","CW","YES","NO","CW-BC3",NA,NA,"CW-BC3","CW-BC3 - Baltic Sea, surface water salinity 3-6 psu, bottom water salinity 3-6 psu, Sheltered, 90-150 ice days","FI","Su","FIVHA2",17,"QE3-1-6-1-5 - Total Nitrogen","TN",NA,"Yes","summer","July-August mean",0.325,NA,"mgN/L","We standardised your Value using a factor of 0.001 to convert from units of   ug/L",FALSE,NA,NA,NA,NA,"Surf",NA,NA,"Ver7e_revised","ver3 final"
"15",4898,"BAL","Baltic Sea","CW","YES","NO","inapplicable",NA,NA,"inapplicable","CW-BC1 - Baltic Sea, surface water salinity 0.5-6 psu, bottom water salinity 1-6 psu, Exposed, 90-150 ice days","FI","Ls","FIVHA2",19,"QE3-1-6-2-2 - Total Phosphorous","TP",NA,"Yes","summer","July-August mean",23,NA,"ÂµgP/L",NA,FALSE,NA,NA,NA,NA,"Surf",NA,NA,"Ver7e_revised","ver3 final"
"16",4899,"BAL","Baltic Sea","CW","YES","NO","CW-BC9",NA,NA,"CW-BC9","CW-BC9 - Baltic Sea, surface water salinity 3-6 psu, bottom water salinity 3-6 psu, Moderately Exposed to exposed, 90-150 ice days","FI","Lu","FIVHA2",19,"QE3-1-6-2-2 - Total Phosphorous","TP",NA,"Yes","summer","July-August mean",18,NA,"ÂµgP/L",NA,FALSE,NA,NA,NA,NA,"Surf",NA,NA,"Ver7e_revised","ver3 final"
"17",4900,"BAL","Baltic Sea","CW","YES","NO","CW-BC3",NA,NA,"CW-BC3","CW-BC3 - Baltic Sea, surface water salinity 3-6 psu, bottom water salinity 3-6 psu, Sheltered, 90-150 ice days","FI","Ss","FIVHA2",19,"QE3-1-6-2-2 - Total Phosphorous","TP",NA,"Yes","summer","July-August mean",24,NA,"ÂµgP/L",NA,FALSE,NA,NA,NA,NA,"Surf","Hydrographic conditions in Ss differ from Su",NA,"Ver7e_revised","ver3 final"
"18",4901,"BAL","Baltic Sea","CW","YES","NO","CW-BC3",NA,NA,"CW-BC3","CW-BC3 - Baltic Sea, surface water salinity 3-6 psu, bottom water salinity 3-6 psu, Sheltered, 90-150 ice days","FI","Su","FIVHA2",19,"QE3-1-6-2-2 - Total Phosphorous","TP",NA,"Yes","summer","July-August mean",20,NA,"ÂµgP/L",NA,FALSE,NA,NA,NA,NA,"Surf",NA,NA,"Ver7e_revised","ver3 final"
"19",4902,"BAL","Baltic Sea","CW","YES","NO","inapplicable",NA,NA,"inapplicable","CW-BC1 - Baltic Sea, surface water salinity 0.5-6 psu, bottom water salinity 1-6 psu, Exposed, 90-150 ice days","FI","Ls","FIVHA3",1,"QE3-1-1-1 - Secchi disk depth","Secchi disk depth",NA,"Yes","summer","July-August mean",3.6,NA,"m",NA,FALSE,NA,NA,NA,NA,"Surf",NA,NA,"Ver7e_revised","ver3 final"
"20",4903,"BAL","Baltic Sea","CW","YES","NO","CW-BC9",NA,NA,"CW-BC9","CW-BC9 - Baltic Sea, surface water salinity 3-6 psu, bottom water salinity 3-6 psu, Moderately Exposed to exposed, 90-150 ice days","FI","Lu","FIVHA3",1,"QE3-1-1-1 - Secchi disk depth","Secchi disk depth",NA,"Yes","summer","July-August mean",5.8,NA,"m",NA,FALSE,NA,NA,NA,NA,"Surf",NA,NA,"Ver7e_revised","ver3 final"
"21",4904,"BAL","Baltic Sea","CW","YES","NO","CW-BC1-A",NA,NA,"CW-BC1-A","CW-BC1 - Baltic Sea, surface water salinity 0.5-6 psu, bottom water salinity 1-6 psu, Exposed, 90-150 ice days","FI","Ms","FIVHA3",1,"QE3-1-1-1 - Secchi disk depth","Secchi disk depth",NA,"Yes","summer","July-August mean",2.3,NA,"m",NA,FALSE,NA,NA,NA,NA,"Surf","Iccode CW-BC1-A, but mixing conditions in Ms differ from Mu",NA,"Ver7e_revised","ver3 final"
"22",4905,"BAL","Baltic Sea","CW","YES","NO","CW-BC1-A",NA,NA,"CW-BC1-A","CW-BC1 - Baltic Sea, surface water salinity 0.5-6 psu, bottom water salinity 1-6 psu, Exposed, 90-150 ice days","FI","Mu","FIVHA3",1,"QE3-1-1-1 - Secchi disk depth","Secchi disk depth",NA,"Yes","summer","July-August mean",3.7,NA,"m",NA,FALSE,NA,NA,NA,NA,"Surf","Iccode CW-BC1-A",NA,"Ver7e_revised","ver3 final"
"23",4906,"BAL","Baltic Sea","CW","YES","NO","CW-BC1-B",NA,NA,"CW-BC1-B","CW-BC1 - Baltic Sea, surface water salinity 0.5-6 psu, bottom water salinity 1-6 psu, Exposed, 90-150 ice days","FI","Ps","FIVHA3",1,"QE3-1-1-1 - Secchi disk depth","Secchi disk depth",NA,"Yes","summer","July-August mean",2.4,NA,"m",NA,FALSE,NA,NA,NA,NA,"Surf","ICcode CW-BC1-B, but hydrographic conditions in Ps differ from Pu",NA,"Ver7e_revised","ver3 final"
"24",4907,"BAL","Baltic Sea","CW","YES","NO","CW-BC1-B",NA,NA,"CW-BC1-B","CW-BC1 - Baltic Sea, surface water salinity 0.5-6 psu, bottom water salinity 1-6 psu, Exposed, 90-150 ice days","FI","Pu","FIVHA3",1,"QE3-1-1-1 - Secchi disk depth","Secchi disk depth",NA,"Yes","summer","July-August mean",3.3,NA,"m",NA,FALSE,NA,NA,NA,NA,"Surf","Iccode CW-BC1-B",NA,"Ver7e_revised","ver3 final"
"25",4908,"BAL","Baltic Sea","CW","YES","NO","CW-BC1-A",NA,NA,"CW-BC1-A","CW-BC1 - Baltic Sea, surface water salinity 0.5-6 psu, bottom water salinity 1-6 psu, Exposed, 90-150 ice days","FI","Ses","FIVHA3",1,"QE3-1-1-1 - Secchi disk depth","Secchi disk depth",NA,"Yes","summer","July-August mean",3.3,NA,"m",NA,FALSE,NA,NA,NA,NA,"Surf","Iccode CW-BC1-A, but hydrographic conditions in Ses differ from Seu",NA,"Ver7e_revised","ver3 final"
"26",4909,"BAL","Baltic Sea","CW","YES","NO","CW-BC1-A",NA,NA,"CW-BC1-A","CW-BC1 - Baltic Sea, surface water salinity 0.5-6 psu, bottom water salinity 1-6 psu, Exposed, 90-150 ice days","FI","Seu","FIVHA3",1,"QE3-1-1-1 - Secchi disk depth","Secchi disk depth",NA,"Yes","summer","July-August mean",4.1,NA,"m",NA,FALSE,NA,NA,NA,NA,"Surf","Iccode CW-BC1-A",NA,"Ver7e_revised","ver3 final"
"27",4910,"BAL","Baltic Sea","CW","YES","NO","CW-BC9",NA,NA,"CW-BC9","CW-BC1 - Baltic Sea, surface water salinity 0.5-6 psu, bottom water salinity 1-6 psu, Exposed, 90-150 ice days","FI","Lvs","FIVHA3",1,"QE3-1-1-1 - Secchi disk depth","Secchi disk depth",NA,"Yes","summer","July-August mean",4.6,NA,"m",NA,FALSE,NA,NA,NA,NA,"Surf","Represent ICcode CW-BC9, not CW-BC1",NA,"Ver7e_revised","ver3 final"
"28",4956,"BAL","Baltic Sea","CW","YES","NO","inapplicable",NA,NA,"inapplicable","CW-BC1 - Baltic Sea, surface water salinity 0.5-6 psu, bottom water salinity 1-6 psu, Exposed, 90-150 ice days","FI","Ls","FIVHA3",17,"QE3-1-6-1-5 - Total Nitrogen","TN",NA,"Yes","summer","July-August mean",0.325,NA,"mgN/L","We standardised your Value using a factor of 0.001 to convert from units of   ug/L",FALSE,NA,NA,NA,NA,"Surf",NA,NA,"Ver7e_revised","ver3 final"
"29",4957,"BAL","Baltic Sea","CW","YES","NO","CW-BC9",NA,NA,"CW-BC9","CW-BC9 - Baltic Sea, surface water salinity 3-6 psu, bottom water salinity 3-6 psu, Moderately Exposed to exposed, 90-150 ice days","FI","Lu","FIVHA3",17,"QE3-1-6-1-5 - Total Nitrogen","TN",NA,"Yes","summer","July-August mean",0.29,NA,"mgN/L","We standardised your Value using a factor of 0.001 to convert from units of   ug/L",FALSE,NA,NA,NA,NA,"Surf","Represent Iccode CW-BC9, not CW-BC1",NA,"Ver7e_revised","ver3 final"
"30",4958,"BAL","Baltic Sea","CW","YES","NO","CW-BC1-A",NA,NA,"CW-BC1-A","CW-BC1 - Baltic Sea, surface water salinity 0.5-6 psu, bottom water salinity 1-6 psu, Exposed, 90-150 ice days","FI","Ms","FIVHA3",17,"QE3-1-6-1-5 - Total Nitrogen","TN",NA,"Yes","summer","July-August mean",0.325,NA,"mgN/L","We standardised your Value using a factor of 0.001 to convert from units of   ug/L",FALSE,NA,NA,NA,NA,"Surf","Iccode CW-BC1-A but hydrographic conditions In Ms different from Mu",NA,"Ver7e_revised","ver3 final"
"31",4959,"BAL","Baltic Sea","CW","YES","NO","CW-BC1-B",NA,NA,"CW-BC1-B","CW-BC1 - Baltic Sea, surface water salinity 0.5-6 psu, bottom water salinity 1-6 psu, Exposed, 90-150 ice days","FI","Mu","FIVHA3",17,"QE3-1-6-1-5 - Total Nitrogen","TN",NA,"Yes","summer","July-August mean",0.28,NA,"mgN/L","We standardised your Value using a factor of 0.001 to convert from units of   ug/L",FALSE,NA,NA,NA,NA,"Surf","Iccode CW-BC1-B, but mixing conditions in Ps differ from Pu",NA,"Ver7e_revised","ver3 final"
"32",4960,"BAL","Baltic Sea","CW","YES","NO","CW-BC1-B",NA,NA,"CW-BC1-B","CW-BC1 - Baltic Sea, surface water salinity 0.5-6 psu, bottom water salinity 1-6 psu, Exposed, 90-150 ice days","FI","Ps","FIVHA3",17,"QE3-1-6-1-5 - Total Nitrogen","TN",NA,"Yes","summer","July-August mean",0.34,NA,"mgN/L","We standardised your Value using a factor of 0.001 to convert from units of   ug/L",FALSE,NA,NA,NA,NA,"Surf","Iccode CW-BC1-B, but hydrographic conditions in Ps differ from Pu",NA,"Ver7e_revised","ver3 final"
"33",4961,"BAL","Baltic Sea","CW","YES","NO","CW-BC1-B",NA,NA,"CW-BC1-B","CW-BC1 - Baltic Sea, surface water salinity 0.5-6 psu, bottom water salinity 1-6 psu, Exposed, 90-150 ice days","FI","Pu","FIVHA3",17,"QE3-1-6-1-5 - Total Nitrogen","TN",NA,"Yes","summer","July-August mean",0.315,NA,"mgN/L","We standardised your Value using a factor of 0.001 to convert from units of   ug/L",FALSE,NA,NA,NA,NA,"Surf","Iccode CW-BC1-B",NA,"Ver7e_revised","ver3 final"
"34",4962,"BAL","Baltic Sea","CW","YES","NO","CW-BC1-A",NA,NA,"CW-BC1-A","CW-BC1 - Baltic Sea, surface water salinity 0.5-6 psu, bottom water salinity 1-6 psu, Exposed, 90-150 ice days","FI","Ses","FIVHA3",17,"QE3-1-6-1-5 - Total Nitrogen","TN",NA,"Yes","summer","July-August mean",0.315,NA,"mgN/L","We standardised your Value using a factor of 0.001 to convert from units of   ug/L",FALSE,NA,NA,NA,NA,"Surf","Iccode CW-BC1-A but hydrographic conditions In Ses different from Seu",NA,"Ver7e_revised","ver3 final"
"35",4963,"BAL","Baltic Sea","CW","YES","NO","CW-BC1-A",NA,NA,"CW-BC1-A","CW-BC1 - Baltic Sea, surface water salinity 0.5-6 psu, bottom water salinity 1-6 psu, Exposed, 90-150 ice days","FI","Seu","FIVHA3",17,"QE3-1-6-1-5 - Total Nitrogen","TN",NA,"Yes","summer","July-August mean",0.275,NA,"mgN/L","We standardised your Value using a factor of 0.001 to convert from units of   ug/L",FALSE,NA,NA,NA,NA,"Surf","Iccode CW-BC1-A",NA,"Ver7e_revised","ver3 final"
"36",4964,"BAL","Baltic Sea","CW","YES","NO","CW-BC9",NA,NA,"CW-BC9","CW-BC1 - Baltic Sea, surface water salinity 0.5-6 psu, bottom water salinity 1-6 psu, Exposed, 90-150 ice days","FI","Lvs","FIVHA3",17,"QE3-1-6-1-5 - Total Nitrogen","TN",NA,"Yes","summer","July-August mean",0.31,NA,"mgN/L","We standardised your Value using a factor of 0.001 to convert from units of   ug/L",FALSE,NA,NA,NA,NA,"Surf","Represent Iccode CW-BC9, not CW-BC2",NA,"Ver7e_revised","ver3 final"
"37",5006,"BAL","Baltic Sea","CW","YES","NO","inapplicable",NA,NA,"inapplicable","CW-BC1 - Baltic Sea, surface water salinity 0.5-6 psu, bottom water salinity 1-6 psu, Exposed, 90-150 ice days","FI","Ls","FIVHA3",19,"QE3-1-6-2-2 - Total Phosphorous","TP",NA,"Yes","summer","July-August mean",23,NA,"ÂµgP/L",NA,FALSE,NA,NA,NA,NA,"Surf",NA,NA,"Ver7e_revised","ver3 final"
"38",5007,"BAL","Baltic Sea","CW","YES","NO","CW-BC9",NA,NA,"CW-BC9","CW-BC9 - Baltic Sea, surface water salinity 3-6 psu, bottom water salinity 3-6 psu, Moderately Exposed to exposed, 90-150 ice days","FI","Lu","FIVHA3",19,"QE3-1-6-2-2 - Total Phosphorous","TP",NA,"Yes","summer","July-August mean",18,NA,"ÂµgP/L",NA,FALSE,NA,NA,NA,NA,"Surf",NA,NA,"Ver7e_revised","ver3 final"
"39",5008,"BAL","Baltic Sea","CW","YES","NO","CW-BC1-A",NA,NA,"CW-BC1-A","CW-BC1 - Baltic Sea, surface water salinity 0.5-6 psu, bottom water salinity 1-6 psu, Exposed, 90-150 ice days","FI","Ms","FIVHA3",19,"QE3-1-6-2-2 - Total Phosphorous","TP",NA,"Yes","summer","July-August mean",17,NA,"ÂµgP/L",NA,FALSE,NA,NA,NA,NA,"Surf","Iccode CW-BC1-A, but hydrographic conditions in Ms differ from Mu",NA,"Ver7e_revised","ver3 final"
"40",5009,"BAL","Baltic Sea","CW","YES","NO","CW-BC1-A",NA,NA,"CW-BC1-A","CW-BC1 - Baltic Sea, surface water salinity 0.5-6 psu, bottom water salinity 1-6 psu, Exposed, 90-150 ice days","FI","Mu","FIVHA3",19,"QE3-1-6-2-2 - Total Phosphorous","TP",NA,"Yes","summer","July-August mean",13,NA,"ÂµgP/L",NA,FALSE,NA,NA,NA,NA,"Surf","Iccode CW-BC1-A",NA,"Ver7e_revised","ver3 final"
"41",5010,"BAL","Baltic Sea","CW","YES","NO","CW-BC1-B",NA,NA,"CW-BC1-B","CW-BC1 - Baltic Sea, surface water salinity 0.5-6 psu, bottom water salinity 1-6 psu, Exposed, 90-150 ice days","FI","Ps","FIVHA3",19,"QE3-1-6-2-2 - Total Phosphorous","TP",NA,"Yes","summer","July-August mean",14,NA,"ÂµgP/L",NA,FALSE,NA,NA,NA,NA,"Surf","Iccode CW-BC1-B, but hydrographic conditions in Ps differ from Pu",NA,"Ver7e_revised","ver3 final"
"42",5011,"BAL","Baltic Sea","CW","YES","NO","CW-BC1-B",NA,NA,"CW-BC1-B","CW-BC1 - Baltic Sea, surface water salinity 0.5-6 psu, bottom water salinity 1-6 psu, Exposed, 90-150 ice days","FI","Pu","FIVHA3",19,"QE3-1-6-2-2 - Total Phosphorous","TP",NA,"Yes","summer","July-August mean",11,NA,"ÂµgP/L",NA,FALSE,NA,NA,NA,NA,"Surf","Iccode CW-BC1-B",NA,"Ver7e_revised","ver3 final"
"43",5012,"BAL","Baltic Sea","CW","YES","NO","CW-BC1-A",NA,NA,"CW-BC1-A","CW-BC1 - Baltic Sea, surface water salinity 0.5-6 psu, bottom water salinity 1-6 psu, Exposed, 90-150 ice days","FI","Ses","FIVHA3",19,"QE3-1-6-2-2 - Total Phosphorous","TP",NA,"Yes","summer","July-August mean",20,NA,"ÂµgP/L",NA,FALSE,NA,NA,NA,NA,"Surf","Iccode CW-BC1-A, but hydrographic conditions in Ses differ from Seu",NA,"Ver7e_revised","ver3 final"
"44",5013,"BAL","Baltic Sea","CW","YES","NO","CW-BC1-A",NA,NA,"CW-BC1-A","CW-BC1 - Baltic Sea, surface water salinity 0.5-6 psu, bottom water salinity 1-6 psu, Exposed, 90-150 ice days","FI","Seu","FIVHA3",19,"QE3-1-6-2-2 - Total Phosphorous","TP",NA,"Yes","summer","July-August mean",14,NA,"ÂµgP/L",NA,FALSE,NA,NA,NA,NA,"Surf","Iccode CW-BC1-A",NA,"Ver7e_revised","ver3 final"
"45",5014,"BAL","Baltic Sea","CW","YES","NO","CW-BC9",NA,NA,"CW-BC9","CW-BC1 - Baltic Sea, surface water salinity 0.5-6 psu, bottom water salinity 1-6 psu, Exposed, 90-150 ice days","FI","Lvs","FIVHA3",19,"QE3-1-6-2-2 - Total Phosphorous","TP",NA,"Yes","summer","July-August mean",20,NA,"ÂµgP/L",NA,FALSE,NA,NA,NA,NA,"Surf","Represent Iccode CW-BC9, not CW-BC1",NA,"Ver7e_revised","ver3 final"
"46",5349,"BAL","Baltic Sea","CW","YES","NO","CW-BC1-B",NA,NA,"CW-BC1-B","CW-BC1 - Baltic Sea, surface water salinity 0.5-6 psu, bottom water salinity 1-6 psu, Exposed, 90-150 ice days","FI","Ps","FIVHA5",1,"QE3-1-1-1 - Secchi disk depth","Secchi disk depth",NA,"Yes","summer","July-August mean",2.4,NA,"m",NA,FALSE,NA,NA,NA,NA,"Surf","ICcode CW-BC1-B, but hydrographic conditions in Ps differ from Pu",NA,"Ver7e_revised","ver3 final"
"47",5350,"BAL","Baltic Sea","CW","YES","NO","CW-BC1-B",NA,NA,"CW-BC1-B","CW-BC1 - Baltic Sea, surface water salinity 0.5-6 psu, bottom water salinity 1-6 psu, Exposed, 90-150 ice days","FI","Pu","FIVHA5",1,"QE3-1-1-1 - Secchi disk depth","Secchi disk depth",NA,"Yes","summer","July-August mean",3.3,NA,"m",NA,FALSE,NA,NA,NA,NA,"Surf","Iccode CW-BC1-B",NA,"Ver7e_revised","ver3 final"
"48",5399,"BAL","Baltic Sea","CW","YES","NO","CW-BC1-B",NA,NA,"CW-BC1-B","CW-BC1 - Baltic Sea, surface water salinity 0.5-6 psu, bottom water salinity 1-6 psu, Exposed, 90-150 ice days","FI","Ps","FIVHA5",17,"QE3-1-6-1-5 - Total Nitrogen","TN",NA,"Yes","summer","July-August mean",0.34,NA,"mgN/L","We standardised your Value using a factor of 0.001 to convert from units of   ug/L",FALSE,NA,NA,NA,NA,"Surf","Iccode CW-BC1-B, but hydrographic conditions in Ps differ from Pu",NA,"Ver7e_revised","ver3 final"
"49",5400,"BAL","Baltic Sea","CW","YES","NO","CW-BC1-B",NA,NA,"CW-BC1-B","CW-BC1 - Baltic Sea, surface water salinity 0.5-6 psu, bottom water salinity 1-6 psu, Exposed, 90-150 ice days","FI","Pu","FIVHA5",17,"QE3-1-6-1-5 - Total Nitrogen","TN",NA,"Yes","summer","July-August mean",0.315,NA,"mgN/L","We standardised your Value using a factor of 0.001 to convert from units of   ug/L",FALSE,NA,NA,NA,NA,"Surf","Iccode CW-BC1-B",NA,"Ver7e_revised","ver3 final"
"50",5439,"BAL","Baltic Sea","CW","YES","NO","CW-BC1-B",NA,NA,"CW-BC1-B","CW-BC1 - Baltic Sea, surface water salinity 0.5-6 psu, bottom water salinity 1-6 psu, Exposed, 90-150 ice days","FI","Ps","FIVHA5",19,"QE3-1-6-2-2 - Total Phosphorous","TP",NA,"Yes","summer","July-August mean",14,NA,"ÂµgP/L",NA,FALSE,NA,NA,NA,NA,"Surf","Iccode CW-BC1-B, but hydrographic conditions in Ps differ from Pu",NA,"Ver7e_revised","ver3 final"
"51",5440,"BAL","Baltic Sea","CW","YES","NO","CW-BC1-B",NA,NA,"CW-BC1-B","CW-BC1 - Baltic Sea, surface water salinity 0.5-6 psu, bottom water salinity 1-6 psu, Exposed, 90-150 ice days","FI","Pu","FIVHA5",19,"QE3-1-6-2-2 - Total Phosphorous","TP",NA,"Yes","summer","July-August mean",11,NA,"ÂµgP/L",NA,FALSE,NA,NA,NA,NA,"Surf","Iccode CW-BC1-B",NA,"Ver7e_revised","ver3 final"
"52",5441,"BAL","Baltic Sea","CW","YES","NO","CW-BC1-B",NA,NA,"CW-BC1-B","CW-BC1 - Baltic Sea, surface water salinity 0.5-6 psu, bottom water salinity 1-6 psu, Exposed, 90-150 ice days","FI","Ps","FIVHA6",1,"QE3-1-1-1 - Secchi disk depth","Secchi disk depth",NA,"Yes","summer","July-August mean",2.4,NA,"m",NA,FALSE,NA,NA,NA,NA,"Surf","ICcode CW-BC1-B, but hydrographic conditions in Ps differ from Pu",NA,"Ver7e_revised","ver3 final"
