uniqueID;Source;Category;Country;physChemText;Measurement Type;Period;Method ;National type code;GM_Meth;c.a.;factor;ValueStd.old;ValueUpStd.old;unit_used;GIG
94;WFD reporting;CW;BG;Nitrate as N;mean;summer;;CW6N;;Nitrate as Nmgl-1;1;0.04;;mgN/L;BLA
95;WFD reporting;CW;BG;Nitrate as N;mean;autumn;;CW6N;;Nitrate as Nmgl-1;1;0.08;;mgN/L;BLA
96;WFD reporting;CW;BG;Nitrate as N;mean;winter;;CW7;;Nitrate as Nmgl-1;1;0.135;;mgN/L;BLA
97;WFD reporting;CW;BG;Nitrate as N;mean;spring;;CW7;;Nitrate as Nmgl-1;1;0.075;;mgN/L;BLA
98;WFD reporting;CW;BG;Nitrate as N;mean;summer;;CW7;;Nitrate as Nmgl-1;1;0.04;;mgN/L;BLA
99;WFD reporting;CW;BG;Nitrate as N;mean;autumn;;CW7;;Nitrate as Nmgl-1;1;0.08;;mgN/L;BLA
100;WFD reporting;CW;BG;Nitrate as N;mean;winter;;CW8;;Nitrate as Nmgl-1;1;0.135;;mgN/L;BLA
101;WFD reporting;CW;BG;Nitrate as N;mean;spring;;CW8;;Nitrate as Nmgl-1;1;0.075;;mgN/L;BLA
102;WFD reporting;CW;BG;Nitrate as N;mean;summer;;CW8;;Nitrate as Nmgl-1;1;0.04;;mgN/L;BLA
103;WFD reporting;CW;BG;Nitrate as N;mean;autumn;;CW8;;Nitrate as Nmgl-1;1;0.08;;mgN/L;BLA
104;WFD reporting;CW;BG;Nitrate as N;mean;winter;;CW9;;Nitrate as Nmgl-1;1;0.135;;mgN/L;BLA
105;WFD reporting;CW;BG;Nitrate as N;mean;spring;;CW9;;Nitrate as Nmgl-1;1;0.075;;mgN/L;BLA
106;WFD reporting;CW;BG;Nitrate as N;mean;summer;;CW9;;Nitrate as Nmgl-1;1;0.04;;mgN/L;BLA
107;WFD reporting;CW;BG;Nitrate as N;mean;autumn;;CW9;;Nitrate as Nmgl-1;1;0.08;;mgN/L;BLA
108;WFD reporting;CW;BG;Dissolved oxygen;mean;winter;;CW1N;;Dissolved oxygenmgl-1;1;12.6;;mg/L;BLA
109;WFD reporting;CW;BG;Dissolved oxygen;mean;spring;;CW1N;;Dissolved oxygenmgl-1;1;10.8;;mg/L;BLA
110;WFD reporting;CW;BG;Dissolved oxygen;mean;summer;;CW1N;;Dissolved oxygenmgl-1;1;8.9;;mg/L;BLA
111;WFD reporting;CW;BG;Dissolved oxygen;mean;autumn;;CW1N;;Dissolved oxygenmgl-1;1;10.3;;mg/L;BLA
112;WFD reporting;CW;BG;Dissolved oxygen;mean;winter;;CW2N;;Dissolved oxygenmgl-1;1;12.6;;mg/L;BLA
113;WFD reporting;CW;BG;Dissolved oxygen;mean;spring;;CW2N;;Dissolved oxygenmgl-1;1;10.8;;mg/L;BLA
114;WFD reporting;CW;BG;Dissolved oxygen;mean;summer;;CW2N;;Dissolved oxygenmgl-1;1;8.9;;mg/L;BLA
115;WFD reporting;CW;BG;Dissolved oxygen;mean;autumn;;CW2N;;Dissolved oxygenmgl-1;1;10.3;;mg/L;BLA
116;WFD reporting;CW;BG;Dissolved oxygen;mean;winter;;CW3;;Dissolved oxygenmgl-1;1;12.6;;mg/L;BLA
117;WFD reporting;CW;BG;Dissolved oxygen;mean;spring;;CW3;;Dissolved oxygenmgl-1;1;10.8;;mg/L;BLA
118;WFD reporting;CW;BG;Dissolved oxygen;mean;summer;;CW3;;Dissolved oxygenmgl-1;1;8.9;;mg/L;BLA
119;WFD reporting;CW;BG;Dissolved oxygen;mean;autumn;;CW3;;Dissolved oxygenmgl-1;1;10.3;;mg/L;BLA
120;WFD reporting;CW;BG;Dissolved oxygen;mean;winter;;CW4N;;Dissolved oxygenmgl-1;1;12.6;;mg/L;BLA
121;WFD reporting;CW;BG;Dissolved oxygen;mean;spring;;CW4N;;Dissolved oxygenmgl-1;1;10.8;;mg/L;BLA
122;WFD reporting;CW;BG;Dissolved oxygen;mean;summer;;CW4N;;Dissolved oxygenmgl-1;1;8.9;;mg/L;BLA
123;WFD reporting;CW;BG;Dissolved oxygen;mean;autumn;;CW4N;;Dissolved oxygenmgl-1;1;10.3;;mg/L;BLA
124;WFD reporting;CW;BG;Dissolved oxygen;mean;winter;;CW5;;Dissolved oxygenmgl-1;1;12.6;;mg/L;BLA
125;WFD reporting;CW;BG;Dissolved oxygen;mean;spring;;CW5;;Dissolved oxygenmgl-1;1;10.8;;mg/L;BLA
126;WFD reporting;CW;BG;Dissolved oxygen;mean;summer;;CW5;;Dissolved oxygenmgl-1;1;8.9;;mg/L;BLA
127;WFD reporting;CW;BG;Dissolved oxygen;mean;autumn;;CW5;;Dissolved oxygenmgl-1;1;10.3;;mg/L;BLA
128;WFD reporting;CW;BG;Dissolved oxygen;mean;winter;;CW6N;;Dissolved oxygenmgl-1;1;12.6;;mg/L;BLA
129;WFD reporting;CW;BG;Dissolved oxygen;mean;spring;;CW6N;;Dissolved oxygenmgl-1;1;10.8;;mg/L;BLA
130;WFD reporting;CW;BG;Dissolved oxygen;mean;summer;;CW6N;;Dissolved oxygenmgl-1;1;8.9;;mg/L;BLA
131;WFD reporting;CW;BG;Dissolved oxygen;mean;autumn;;CW6N;;Dissolved oxygenmgl-1;1;10.3;;mg/L;BLA
132;WFD reporting;CW;BG;Dissolved oxygen;mean;winter;;CW7;;Dissolved oxygenmgl-1;1;12.6;;mg/L;BLA
133;WFD reporting;CW;BG;Dissolved oxygen;mean;spring;;CW7;;Dissolved oxygenmgl-1;1;10.8;;mg/L;BLA
134;WFD reporting;CW;BG;Dissolved oxygen;mean;summer;;CW7;;Dissolved oxygenmgl-1;1;8.9;;mg/L;BLA
135;WFD reporting;CW;BG;Dissolved oxygen;mean;autumn;;CW7;;Dissolved oxygenmgl-1;1;10.3;;mg/L;BLA
136;WFD reporting;CW;BG;Dissolved oxygen;mean;winter;;CW8;;Dissolved oxygenmgl-1;1;12.6;;mg/L;BLA
137;WFD reporting;CW;BG;Dissolved oxygen;mean;spring;;CW8;;Dissolved oxygenmgl-1;1;10.8;;mg/L;BLA
138;WFD reporting;CW;BG;Dissolved oxygen;mean;summer;;CW8;;Dissolved oxygenmgl-1;1;8.9;;mg/L;BLA
139;WFD reporting;CW;BG;Dissolved oxygen;mean;autumn;;CW8;;Dissolved oxygenmgl-1;1;10.3;;mg/L;BLA
140;WFD reporting;CW;BG;Dissolved oxygen;mean;winter;;CW9;;Dissolved oxygenmgl-1;1;12.6;;mg/L;BLA
141;WFD reporting;CW;BG;Dissolved oxygen;mean;spring;;CW9;;Dissolved oxygenmgl-1;1;10.8;;mg/L;BLA
142;WFD reporting;CW;BG;Dissolved oxygen;mean;summer;;CW9;;Dissolved oxygenmgl-1;1;8.9;;mg/L;BLA
143;WFD reporting;CW;BG;Dissolved oxygen;mean;autumn;;CW9;;Dissolved oxygenmgl-1;1;10.3;;mg/L;BLA
144;ECOSTAT questionnaries;CW;CY;Nitrate as N;mean;Annual;USEPA Method 353.2, Segmented Flow Analysis, OI Analytical Flow Solution® IV ;All;Exp Judg;Nitrate as Nmgl-1;1;0.0091;;mgN/L;MED
145;WFD reporting;CW;CY;Nitrate as N;mean;Annual;;All;;Nitrate as Nmgl-1;1;0.22;1.3;mgN/L;MED
146;WFD reporting;CW;CY;Dissolved oxygen;mean;Annual;;All;;Dissolved oxygenmgl-1;1;4;9;mg/L;MED
147;ECOSTAT questionnaries;CW;DE;TN;median;Annual;Oxidative pressure extraction with Kaliumperoxodisulphate and determination as nitrate modified after DIN EN ISO 11905-1 ;B1;Modelling and expert judgement;TNmgl-1;1;0.53;;mgN/L;BAL
148;ECOSTAT questionnaries;CW;DE;TN;median;Annual;Oxidative pressure extraction with Kaliumperoxodisulphate and determination as nitrate modified after DIN EN ISO 11905-1 ;B2a;Modelling and expert judgement;TNmgl-1;1;0.25;;mgN/L;BAL
149;ECOSTAT questionnaries;CW;DE;TN;median;Annual;Oxidative pressure extraction with Kaliumperoxodisulphate and determination as nitrate modified after DIN EN ISO 11905-1 ;B2b;Modelling and expert judgement;TNmgl-1;1;0.32;;mgN/L;BAL
150;ECOSTAT questionnaries;CW;DE;TN;median;Annual;Oxidative pressure extraction with Kaliumperoxodisulphate and determination as nitrate modified after DIN EN ISO 11905-1 ;B3a;Modelling and expert judgement;TNmgl-1;1;0.25;;mgN/L;BAL
151;ECOSTAT questionnaries;CW;DE;TN;median;Annual;Oxidative pressure extraction with Kaliumperoxodisulphate and determination as nitrate modified after DIN EN ISO 11905-1 ;B4;Modelling and expert judgement;TNmgl-1;1;0.27;;mgN/L;BAL
152;ECOSTAT questionnaries;CW;DE;TN;median;Annual;Oxidative pressure extraction with Kaliumperoxodisulphate and determination as nitrate modified after DIN EN ISO 11905-1 ;B2a;Modelling and expert judgement;TNmgl-1;1;0.52;;mgN/L;BAL
153;ECOSTAT questionnaries;CW;DE;TN;median;Annual;Oxidative pressure extraction with Kaliumperoxodisulphate and determination as nitrate modified after DIN EN ISO 11905-1 ;B2b;Modelling and expert judgement;TNmgl-1;1;0.28;;mgN/L;BAL
154;ECOSTAT questionnaries;CW;DE;TN;median;Annual;Oxidative pressure extraction with Kaliumperoxodisulphate and determination as nitrate modified after DIN EN ISO 11905-1 ;B3a;Modelling and expert judgement;TNmgl-1;1;0.2;;mgN/L;BAL
155;ECOSTAT questionnaries;CW;DE;TN;median;Annual;Oxidative pressure extraction with Kaliumperoxodisulphate and determination as nitrate modified after DIN EN ISO 11905-1 ;B4;Modelling and expert judgement;TNmgl-1;1;0.21;;mgN/L;BAL
156;ECOSTAT questionnaries;CW;DE;TP;median;Annual;Oxidative pressure extraction with Kaliumperoxodisulphate and determination as phosphate  modified after DIN EN ISO 6878;B1;Modelling and expert judgement;TPµgl-1;1;44;;µgP/L;BAL
157;ECOSTAT questionnaries;CW;DE;TP;median;Annual;Oxidative pressure extraction with Kaliumperoxodisulphate and determination as phosphate  modified after DIN EN ISO 6878;B2a;Modelling and expert judgement;TPµgl-1;1;18;;µgP/L;BAL
