"","ICcode.TRAC","X","All.obs","GIG","MarineRegion","Cat","physChemCatCW","physChemCatTW","Country","RBD","NatType","physChemQECode","physChemQE","physChemText","Note1_PhysChemText","physChemGMBoundary","SumMetric","Note2_Season","ValueStd","ValueUpStd","UnitUsed","Note3_stdUnits","RangeRep","ReasonRange","SalinityRange","Salinity1","Salinity2","DepthZone","Ver","Ver.r","ICtypology","MetricType","ICType"
"15","CW-BC1",1050,11762,"BAL","Baltic Sea","CW","YES","NO","SE",NA,"20",NA,NA,"TP",NA,NA,"summer","mean (JJA)",8.98239069,12.07976679,"µgP/L","We standardised your Value using a factor of 30.973761 to convert from units of   umol{P}/L",TRUE,"salinity range","5 - 0",5,0,NA,"Ver7e_revised","ver3","match IC","central tendency seasonal","Baltic Sea, surface water salinity 0.5-6 psu, bottom water salinity 1-6 psu, Exposed, 90-150 ice days"
"16","CW-BC1",1051,11763,"BAL","Baltic Sea","CW","YES","NO","SE",NA,"21",NA,NA,"TP",NA,NA,"summer","mean (JJA)",8.98239069,12.07976679,"µgP/L","We standardised your Value using a factor of 30.973761 to convert from units of   umol{P}/L",TRUE,"salinity range","5 - 0",5,0,NA,"Ver7e_revised","ver3","match IC","central tendency seasonal","Baltic Sea, surface water salinity 0.5-6 psu, bottom water salinity 1-6 psu, Exposed, 90-150 ice days"
"17","CW-BC1",971,11683,"BAL","Baltic Sea","CW","YES","NO","SE",NA,"16",NA,NA,"TN",NA,NA,"summer","mean (JJA)",0.29554137,0.37537956,"mgN/L","We standardised your Value using a factor of 0.0140067 to convert from units of   µmol/L",TRUE,"salinity range","5 - 0",5,0,NA,"Ver7e_revised","ver3","match IC","central tendency seasonal","Baltic Sea, surface water salinity 0.5-6 psu, bottom water salinity 1-6 psu, Exposed, 90-150 ice days"
"18","CW-BC1",972,11684,"BAL","Baltic Sea","CW","YES","NO","SE",NA,"17",NA,NA,"TN",NA,NA,"summer","mean (JJA)",0.29554137,0.37537956,"mgN/L","We standardised your Value using a factor of 0.0140067 to convert from units of   µmol/L",TRUE,"salinity range","5 - 0",5,0,NA,"Ver7e_revised","ver3","match IC","central tendency seasonal","Baltic Sea, surface water salinity 0.5-6 psu, bottom water salinity 1-6 psu, Exposed, 90-150 ice days"
"19","CW-BC1",973,11685,"BAL","Baltic Sea","CW","YES","NO","SE",NA,"18",NA,NA,"TN",NA,NA,"summer","mean (JJA)",0.29834271,0.30254472,"mgN/L","We standardised your Value using a factor of 0.0140067 to convert from units of   µmol/L",TRUE,"salinity range","5 - 0",5,0,NA,"Ver7e_revised","ver3","match IC","central tendency seasonal","Baltic Sea, surface water salinity 0.5-6 psu, bottom water salinity 1-6 psu, Exposed, 90-150 ice days"
"20","CW-BC1",974,11686,"BAL","Baltic Sea","CW","YES","NO","SE",NA,"19",NA,NA,"TN",NA,NA,"summer","mean (JJA)",0.29834271,0.30254472,"mgN/L","We standardised your Value using a factor of 0.0140067 to convert from units of   µmol/L",TRUE,"salinity range","5 - 0",5,0,NA,"Ver7e_revised","ver3","match IC","central tendency seasonal","Baltic Sea, surface water salinity 0.5-6 psu, bottom water salinity 1-6 psu, Exposed, 90-150 ice days"
"21","CW-BC1",975,11687,"BAL","Baltic Sea","CW","YES","NO","SE",NA,"20",NA,NA,"TN",NA,NA,"summer","mean (JJA)",0.27313065,0.28853802,"mgN/L","We standardised your Value using a factor of 0.0140067 to convert from units of   µmol/L",TRUE,"salinity range","0 - 5",0,5,NA,"Ver7e_revised","ver3","match IC","central tendency seasonal","Baltic Sea, surface water salinity 0.5-6 psu, bottom water salinity 1-6 psu, Exposed, 90-150 ice days"
"22","CW-BC1",976,11688,"BAL","Baltic Sea","CW","YES","NO","SE",NA,"21",NA,NA,"TN",NA,NA,"summer","mean (JJA)",0.27313065,0.28853802,"mgN/L","We standardised your Value using a factor of 0.0140067 to convert from units of   µmol/L",TRUE,"salinity range","0 - 5",0,5,NA,"Ver7e_revised","ver3","match IC","central tendency seasonal","Baltic Sea, surface water salinity 0.5-6 psu, bottom water salinity 1-6 psu, Exposed, 90-150 ice days"
"23","CW-BC1",977,11689,"BAL","Baltic Sea","CW","YES","NO","SE",NA,"22",NA,NA,"TN",NA,NA,"summer","mean (JJA)",0.31375008,0.31655142,"mgN/L","We standardised your Value using a factor of 0.0140067 to convert from units of   µmol/L",TRUE,"salinity range","3 - 0",3,0,NA,"Ver7e_revised","ver3","match IC","central tendency seasonal","Baltic Sea, surface water salinity 0.5-6 psu, bottom water salinity 1-6 psu, Exposed, 90-150 ice days"
"24","CW-BC1",978,11690,"BAL","Baltic Sea","CW","YES","NO","SE",NA,"23",NA,NA,"TN",NA,NA,"summer","mean (JJA)",0.31375008,0.31655142,"mgN/L","We standardised your Value using a factor of 0.0140067 to convert from units of   µmol/L",TRUE,"salinity range","3 - 0",3,0,NA,"Ver7e_revised","ver3","match IC","central tendency seasonal","Baltic Sea, surface water salinity 0.5-6 psu, bottom water salinity 1-6 psu, Exposed, 90-150 ice days"
"25","CW-BC1",1047,11759,"BAL","Baltic Sea","CW","YES","NO","SE",NA,"17",NA,NA,"TP",NA,NA,"summer","mean (JJA)",10.84081635,16.72583094,"µgP/L","We standardised your Value using a factor of 30.973761 to convert from units of   umol{P}/L",TRUE,"salinity range","5 - 0",5,0,NA,"Ver7e_revised","ver3","match IC","central tendency seasonal","Baltic Sea, surface water salinity 0.5-6 psu, bottom water salinity 1-6 psu, Exposed, 90-150 ice days"
"26","CW-BC1",1021,11733,"BAL","Baltic Sea","CW","YES","NO","SE",NA,"16",NA,NA,"TP",NA,NA,"winter","mean (DJF)",17.34530616,19.51346943,"µgP/L","We standardised your Value using a factor of 30.973761 to convert from units of   umol{P}/L",TRUE,"salinity range","5 - 0",5,0,NA,"Ver7e_revised","ver3","match IC","central tendency seasonal","Baltic Sea, surface water salinity 0.5-6 psu, bottom water salinity 1-6 psu, Exposed, 90-150 ice days"
"27","CW-BC1",1022,11734,"BAL","Baltic Sea","CW","YES","NO","SE",NA,"17",NA,NA,"TP",NA,NA,"winter","mean (DJF)",17.34530616,19.51346943,"µgP/L","We standardised your Value using a factor of 30.973761 to convert from units of   umol{P}/L",TRUE,"salinity range","5 - 0",5,0,NA,"Ver7e_revised","ver3","match IC","central tendency seasonal","Baltic Sea, surface water salinity 0.5-6 psu, bottom water salinity 1-6 psu, Exposed, 90-150 ice days"
"28","CW-BC1",1023,11735,"BAL","Baltic Sea","CW","YES","NO","SE",NA,"18",NA,NA,"TP",NA,NA,"winter","mean (DJF)",11.77002918,17.34530616,"µgP/L","We standardised your Value using a factor of 30.973761 to convert from units of   umol{P}/L",TRUE,"salinity range","0 - 5",0,5,NA,"Ver7e_revised","ver3","match IC","central tendency seasonal","Baltic Sea, surface water salinity 0.5-6 psu, bottom water salinity 1-6 psu, Exposed, 90-150 ice days"
"29","CW-BC1",1024,11736,"BAL","Baltic Sea","CW","YES","NO","SE",NA,"19",NA,NA,"TP",NA,NA,"winter","mean (DJF)",11.77002918,17.34530616,"µgP/L","We standardised your Value using a factor of 30.973761 to convert from units of   umol{P}/L",TRUE,"salinity range","0 - 5",0,5,NA,"Ver7e_revised","ver3","match IC","central tendency seasonal","Baltic Sea, surface water salinity 0.5-6 psu, bottom water salinity 1-6 psu, Exposed, 90-150 ice days"
"30","CW-BC1",1025,11737,"BAL","Baltic Sea","CW","YES","NO","SE",NA,"20",NA,NA,"TP",NA,NA,"winter","mean (DJF)",14.86740528,16.10635572,"µgP/L","We standardised your Value using a factor of 30.973761 to convert from units of   umol{P}/L",TRUE,"salinity range","5 - 0",5,0,NA,"Ver7e_revised","ver3","match IC","central tendency seasonal","Baltic Sea, surface water salinity 0.5-6 psu, bottom water salinity 1-6 psu, Exposed, 90-150 ice days"
"31","CW-BC1",1026,11738,"BAL","Baltic Sea","CW","YES","NO","SE",NA,"21",NA,NA,"TP",NA,NA,"winter","mean (DJF)",14.86740528,16.10635572,"µgP/L","We standardised your Value using a factor of 30.973761 to convert from units of   umol{P}/L",TRUE,"salinity range","5 - 0",5,0,NA,"Ver7e_revised","ver3","match IC","central tendency seasonal","Baltic Sea, surface water salinity 0.5-6 psu, bottom water salinity 1-6 psu, Exposed, 90-150 ice days"
"32","CW-BC1",946,11658,"BAL","Baltic Sea","CW","YES","NO","SE",NA,"16",NA,NA,"TN",NA,NA,"winter","mean (DJF)",0.29694204,0.48323115,"mgN/L","We standardised your Value using a factor of 0.0140067 to convert from units of   µmol/L",TRUE,"salinity range","5 - 0",5,0,NA,"Ver7e_revised","ver3","match IC","central tendency seasonal","Baltic Sea, surface water salinity 0.5-6 psu, bottom water salinity 1-6 psu, Exposed, 90-150 ice days"
"33","CW-BC1",947,11659,"BAL","Baltic Sea","CW","YES","NO","SE",NA,"17",NA,NA,"TN",NA,NA,"winter","mean (DJF)",0.29694204,0.48323115,"mgN/L","We standardised your Value using a factor of 0.0140067 to convert from units of   µmol/L",TRUE,"salinity range","5 - 0",5,0,NA,"Ver7e_revised","ver3","match IC","central tendency seasonal","Baltic Sea, surface water salinity 0.5-6 psu, bottom water salinity 1-6 psu, Exposed, 90-150 ice days"
"34","CW-BC1",948,11660,"BAL","Baltic Sea","CW","YES","NO","SE",NA,"18",NA,NA,"TN",NA,NA,"winter","mean (DJF)",0.29974338,0.30254472,"mgN/L","We standardised your Value using a factor of 0.0140067 to convert from units of   µmol/L",TRUE,"salinity range","0 - 5",0,5,NA,"Ver7e_revised","ver3","match IC","central tendency seasonal","Baltic Sea, surface water salinity 0.5-6 psu, bottom water salinity 1-6 psu, Exposed, 90-150 ice days"
"35","CW-BC1",949,11661,"BAL","Baltic Sea","CW","YES","NO","SE",NA,"19",NA,NA,"TN",NA,NA,"winter","mean (DJF)",0.29974338,0.30254472,"mgN/L","We standardised your Value using a factor of 0.0140067 to convert from units of   µmol/L",TRUE,"salinity range","0 - 5",0,5,NA,"Ver7e_revised","ver3","match IC","central tendency seasonal","Baltic Sea, surface water salinity 0.5-6 psu, bottom water salinity 1-6 psu, Exposed, 90-150 ice days"
"36","CW-BC1",1071,11783,"BAL","Baltic Sea","CW","YES","NO","SE",NA,"16",NA,NA,"Orthophosphate","Phosphate",NA,"winter","mean (DJF)",5.885290147,9.29256339,"µgP/L","We standardised your Value using a factor of 30.97521132 to convert from units of   umol{PO4-P}/L",TRUE,"salinity range","0 - 5",0,5,NA,"Ver7e_revised","ver3","match IC","central tendency seasonal","Baltic Sea, surface water salinity 0.5-6 psu, bottom water salinity 1-6 psu, Exposed, 90-150 ice days"
"37","CW-BC1",1072,11784,"BAL","Baltic Sea","CW","YES","NO","SE",NA,"17",NA,NA,"Orthophosphate","Phosphate",NA,"winter","mean (DJF)",5.885290147,9.29256339,"µgP/L","We standardised your Value using a factor of 30.97521132 to convert from units of   umol{PO4-P}/L",TRUE,"salinity range","0 - 5",0,5,NA,"Ver7e_revised","ver3","match IC","central tendency seasonal","Baltic Sea, surface water salinity 0.5-6 psu, bottom water salinity 1-6 psu, Exposed, 90-150 ice days"
"38","CW-BC1",1073,11785,"BAL","Baltic Sea","CW","YES","NO","SE",NA,"18",NA,NA,"Orthophosphate","Phosphate",NA,"winter","mean (DJF)",3.717025356,9.29256339,"µgP/L","We standardised your Value using a factor of 30.97521132 to convert from units of   umol{PO4-P}/L",TRUE,"salinity range","0 - 5",0,5,NA,"Ver7e_revised","ver3","match IC","central tendency seasonal","Baltic Sea, surface water salinity 0.5-6 psu, bottom water salinity 1-6 psu, Exposed, 90-150 ice days"
"39","CW-BC1",1074,11786,"BAL","Baltic Sea","CW","YES","NO","SE",NA,"19",NA,NA,"Orthophosphate","Phosphate",NA,"winter","mean (DJF)",3.717025356,9.29256339,"µgP/L","We standardised your Value using a factor of 30.97521132 to convert from units of   umol{PO4-P}/L",TRUE,"salinity range","0 - 5",0,5,NA,"Ver7e_revised","ver3","match IC","central tendency seasonal","Baltic Sea, surface water salinity 0.5-6 psu, bottom water salinity 1-6 psu, Exposed, 90-150 ice days"
"40","CW-BC1",1075,11787,"BAL","Baltic Sea","CW","YES","NO","SE",NA,"20",NA,NA,"Orthophosphate","Phosphate",NA,"winter","mean (DJF)",4.956033808,6.814546486,"µgP/L","We standardised your Value using a factor of 30.97521132 to convert from units of   umol{PO4-P}/L",TRUE,"salinity range","0 - 5",0,5,NA,"Ver7e_revised","ver3","match IC","central tendency seasonal","Baltic Sea, surface water salinity 0.5-6 psu, bottom water salinity 1-6 psu, Exposed, 90-150 ice days"
"41","CW-BC1",1076,11788,"BAL","Baltic Sea","CW","YES","NO","SE",NA,"21",NA,NA,"Orthophosphate","Phosphate",NA,"winter","mean (DJF)",4.956033808,6.814546486,"µgP/L","We standardised your Value using a factor of 30.97521132 to convert from units of   umol{PO4-P}/L",TRUE,"salinity range","0 - 5",0,5,NA,"Ver7e_revised","ver3","match IC","central tendency seasonal","Baltic Sea, surface water salinity 0.5-6 psu, bottom water salinity 1-6 psu, Exposed, 90-150 ice days"
"42","CW-BC1",996,11708,"BAL","Baltic Sea","CW","YES","NO","SE",NA,"16",NA,NA,"Total Inorganic N","DIN",NA,"winter","mean (DJF)",0.0420201,0.17508375,"mgN/L","We standardised your Value using a factor of 0.0140067 to convert from units of   µmol/L",TRUE,"salinity range","5 - 0",5,0,NA,"Ver7e_revised","ver3","match IC","central tendency seasonal","Baltic Sea, surface water salinity 0.5-6 psu, bottom water salinity 1-6 psu, Exposed, 90-150 ice days"
"43","CW-BC1",997,11709,"BAL","Baltic Sea","CW","YES","NO","SE",NA,"17",NA,NA,"Total Inorganic N","DIN",NA,"winter","mean (DJF)",0.0420201,0.17508375,"mgN/L","We standardised your Value using a factor of 0.0140067 to convert from units of   µmol/L",TRUE,"salinity range","5 - 0",5,0,NA,"Ver7e_revised","ver3","match IC","central tendency seasonal","Baltic Sea, surface water salinity 0.5-6 psu, bottom water salinity 1-6 psu, Exposed, 90-150 ice days"
"44","CW-BC1",998,11710,"BAL","Baltic Sea","CW","YES","NO","SE",NA,"18",NA,NA,"Total Inorganic N","DIN",NA,"winter","mean (DJF)",0.0420201,0.1260603,"mgN/L","We standardised your Value using a factor of 0.0140067 to convert from units of   µmol/L",TRUE,"salinity range","5 - 0",5,0,NA,"Ver7e_revised","ver3","match IC","central tendency seasonal","Baltic Sea, surface water salinity 0.5-6 psu, bottom water salinity 1-6 psu, Exposed, 90-150 ice days"
"45","CW-BC1",999,11711,"BAL","Baltic Sea","CW","YES","NO","SE",NA,"19",NA,NA,"Total Inorganic N","DIN",NA,"winter","mean (DJF)",0.0420201,0.1260603,"mgN/L","We standardised your Value using a factor of 0.0140067 to convert from units of   µmol/L",TRUE,"salinity range","5 - 0",5,0,NA,"Ver7e_revised","ver3","match IC","central tendency seasonal","Baltic Sea, surface water salinity 0.5-6 psu, bottom water salinity 1-6 psu, Exposed, 90-150 ice days"
"46","CW-BC1",1000,11712,"BAL","Baltic Sea","CW","YES","NO","SE",NA,"20",NA,NA,"Total Inorganic N","DIN",NA,"winter","mean (DJF)",0.0560268,0.12325896,"mgN/L","We standardised your Value using a factor of 0.0140067 to convert from units of   µmol/L",TRUE,"salinity range","5 - 0",5,0,NA,"Ver7e_revised","ver3","match IC","central tendency seasonal","Baltic Sea, surface water salinity 0.5-6 psu, bottom water salinity 1-6 psu, Exposed, 90-150 ice days"
"47","CW-BC1",1001,11713,"BAL","Baltic Sea","CW","YES","NO","SE",NA,"21",NA,NA,"Total Inorganic N","DIN",NA,"winter","mean (DJF)",0.0560268,0.12325896,"mgN/L","We standardised your Value using a factor of 0.0140067 to convert from units of   µmol/L",TRUE,"salinity range","5 - 0",5,0,NA,"Ver7e_revised","ver3","match IC","central tendency seasonal","Baltic Sea, surface water salinity 0.5-6 psu, bottom water salinity 1-6 psu, Exposed, 90-150 ice days"
"48","CW-BC1",1002,11714,"BAL","Baltic Sea","CW","YES","NO","SE",NA,"22",NA,NA,"Total Inorganic N","DIN",NA,"winter","mean (DJF)",0.07283484,0.13166298,"mgN/L","We standardised your Value using a factor of 0.0140067 to convert from units of   µmol/L",TRUE,"salinity range","3 - 0",3,0,NA,"Ver7e_revised","ver3","match IC","central tendency seasonal","Baltic Sea, surface water salinity 0.5-6 psu, bottom water salinity 1-6 psu, Exposed, 90-150 ice days"
"49","CW-BC1-A",26,4909,"BAL","Baltic Sea","CW","YES","NO","FI","Seu","FIVHA3",1,"QE3-1-1-1 - Secchi disk depth","Secchi disk depth",NA,"Yes","summer","July-August mean",4.1,NA,"m",NA,FALSE,NA,NA,NA,NA,"Surf","Ver7e_revised","ver3","match IC","central tendency seasonal","Baltic Sea, surface water salinity 0.5-6 psu, bottom water salinity 1-6 psu, Exposed, 90-150 ice days"
"50","CW-BC1-A",43,5012,"BAL","Baltic Sea","CW","YES","NO","FI","Ses","FIVHA3",19,"QE3-1-6-2-2 - Total Phosphorous","TP",NA,"Yes","summer","July-August mean",20,NA,"ÂµgP/L",NA,FALSE,NA,NA,NA,NA,"Surf","Ver7e_revised","ver3","match IC","central tendency seasonal","Baltic Sea, surface water salinity 0.5-6 psu, bottom water salinity 1-6 psu, Exposed, 90-150 ice days"
"51","CW-BC1-A",40,5009,"BAL","Baltic Sea","CW","YES","NO","FI","Mu","FIVHA3",19,"QE3-1-6-2-2 - Total Phosphorous","TP",NA,"Yes","summer","July-August mean",13,NA,"ÂµgP/L",NA,FALSE,NA,NA,NA,NA,"Surf","Ver7e_revised","ver3","match IC","central tendency seasonal","Baltic Sea, surface water salinity 0.5-6 psu, bottom water salinity 1-6 psu, Exposed, 90-150 ice days"
"52","CW-BC1-A",39,5008,"BAL","Baltic Sea","CW","YES","NO","FI","Ms","FIVHA3",19,"QE3-1-6-2-2 - Total Phosphorous","TP",NA,"Yes","summer","July-August mean",17,NA,"ÂµgP/L",NA,FALSE,NA,NA,NA,NA,"Surf","Ver7e_revised","ver3","match IC","central tendency seasonal","Baltic Sea, surface water salinity 0.5-6 psu, bottom water salinity 1-6 psu, Exposed, 90-150 ice days"
"53","CW-BC1-A",25,4908,"BAL","Baltic Sea","CW","YES","NO","FI","Ses","FIVHA3",1,"QE3-1-1-1 - Secchi disk depth","Secchi disk depth",NA,"Yes","summer","July-August mean",3.3,NA,"m",NA,FALSE,NA,NA,NA,NA,"Surf","Ver7e_revised","ver3","match IC","central tendency seasonal","Baltic Sea, surface water salinity 0.5-6 psu, bottom water salinity 1-6 psu, Exposed, 90-150 ice days"
"54","CW-BC1-A",35,4963,"BAL","Baltic Sea","CW","YES","NO","FI","Seu","FIVHA3",17,"QE3-1-6-1-5 - Total Nitrogen","TN",NA,"Yes","summer","July-August mean",0.275,NA,"mgN/L","We standardised your Value using a factor of 0.001 to convert from units of   ug/L",FALSE,NA,NA,NA,NA,"Surf","Ver7e_revised","ver3","match IC","central tendency seasonal","Baltic Sea, surface water salinity 0.5-6 psu, bottom water salinity 1-6 psu, Exposed, 90-150 ice days"
"55","CW-BC1-A",22,4905,"BAL","Baltic Sea","CW","YES","NO","FI","Mu","FIVHA3",1,"QE3-1-1-1 - Secchi disk depth","Secchi disk depth",NA,"Yes","summer","July-August mean",3.7,NA,"m",NA,FALSE,NA,NA,NA,NA,"Surf","Ver7e_revised","ver3","match IC","central tendency seasonal","Baltic Sea, surface water salinity 0.5-6 psu, bottom water salinity 1-6 psu, Exposed, 90-150 ice days"
"56","CW-BC1-A",21,4904,"BAL","Baltic Sea","CW","YES","NO","FI","Ms","FIVHA3",1,"QE3-1-1-1 - Secchi disk depth","Secchi disk depth",NA,"Yes","summer","July-August mean",2.3,NA,"m",NA,FALSE,NA,NA,NA,NA,"Surf","Ver7e_revised","ver3","match IC","central tendency seasonal","Baltic Sea, surface water salinity 0.5-6 psu, bottom water salinity 1-6 psu, Exposed, 90-150 ice days"
"57","CW-BC1-A",44,5013,"BAL","Baltic Sea","CW","YES","NO","FI","Seu","FIVHA3",19,"QE3-1-6-2-2 - Total Phosphorous","TP",NA,"Yes","summer","July-August mean",14,NA,"ÂµgP/L",NA,FALSE,NA,NA,NA,NA,"Surf","Ver7e_revised","ver3","match IC","central tendency seasonal","Baltic Sea, surface water salinity 0.5-6 psu, bottom water salinity 1-6 psu, Exposed, 90-150 ice days"
"58","CW-BC1-A",30,4958,"BAL","Baltic Sea","CW","YES","NO","FI","Ms","FIVHA3",17,"QE3-1-6-1-5 - Total Nitrogen","TN",NA,"Yes","summer","July-August mean",0.325,NA,"mgN/L","We standardised your Value using a factor of 0.001 to convert from units of   ug/L",FALSE,NA,NA,NA,NA,"Surf","Ver7e_revised","ver3","match IC","central tendency seasonal","Baltic Sea, surface water salinity 0.5-6 psu, bottom water salinity 1-6 psu, Exposed, 90-150 ice days"
